,album,album_type,track_id,track_number,name,popularity,duration_ms,release_date,artists
0,Calcinha Preta: Edição Especial,album,28P5hnigrW5mQ2aZ439cEn,1,Quer Conhecer? Deixe!,19,228827,2018-08-03,['Calcinha Preta']
1,Calcinha Preta: Edição Especial,album,53tDhIui60U8H4CskOxOdM,2,Não Me Deixe Agora,21,293162,2018-08-03,['Calcinha Preta']
2,Calcinha Preta: Edição Especial,album,0OoMcqlselvg5wIhek1irs,3,Agora Estou Sofrendo,22,251580,2018-08-03,['Calcinha Preta']
3,Calcinha Preta: Edição Especial,album,7AARwThoxsUZ5iiIfSdkwK,4,Sem Explicação (I Will Be),20,221083,2018-08-03,['Calcinha Preta']
4,Calcinha Preta: Edição Especial,album,3lpaj83oEG9Sfx0vf4ckHv,5,Perdoar,18,186984,2018-08-03,['Calcinha Preta']
5,Calcinha Preta: Edição Especial,album,2PV6APJqyaONJh7He1vZX7,6,Encruzilhada,16,205938,2018-08-03,['Calcinha Preta']
6,Calcinha Preta: Edição Especial,album,6Mg7LpH6zD7Ma0HFmrqCd4,7,Renascerá,26,208979,2018-08-03,['Calcinha Preta']
7,Calcinha Preta: Edição Especial,album,7BzKHCjunMs0L0ZNBPYaJ0,8,Faço Chover,18,254027,2018-08-03,['Calcinha Preta']
8,Calcinha Preta: Edição Especial,album,38utheuQMj0Lkb8avqSfVs,9,Já Me Acostumei,19,249844,2018-08-03,['Calcinha Preta']
9,Calcinha Preta: Edição Especial,album,5eN4TRnQNQ3vIBQRZcrgTD,10,Homem de Rua,14,211416,2018-08-03,['Calcinha Preta']
10,Calcinha Preta: Edição Especial,album,3R1N133Q6PS623ngsz0IOU,11,Você Não Vale Nada,16,220000,2018-08-03,['Calcinha Preta']
11,Balada Prime,album,5SPDQIjMg9qrxGyu5i3OdZ,1,Balada Prime,29,184656,2015-12-14,"['Calcinha Preta', 'Gusttavo Lima']"
12,Balada Prime,album,5VUBX4x2S01Er7OzG01PFO,2,Chora,11,174384,2015-12-14,['Calcinha Preta']
13,Balada Prime,album,5QDWfVhDaOtBmNiSDi7fmh,3,Sapatinho de Cinderela,9,171552,2015-12-14,['Calcinha Preta']
14,Balada Prime,album,0FRQJv8reGBXH6q0UVZnjL,4,Você Mente,11,202056,2015-12-14,['Calcinha Preta']
15,Balada Prime,album,2m3MuBPQPP2u3c1RPIK0lP,5,Kit Sofrência,9,179400,2015-12-14,['Calcinha Preta']
16,Balada Prime,album,3cYKSGWa9bZwSGBf3uwLXU,6,Modo Avião,9,193056,2015-12-14,['Calcinha Preta']
17,Balada Prime,album,07lwcDQUbH2igoMByc6A7G,7,A Dona do Barraco,12,146448,2015-12-14,['Calcinha Preta']
18,Balada Prime,album,6KkYs7mwTrdwtSbjop82Sj,8,Que Tal?,8,221664,2015-12-14,['Calcinha Preta']
19,Balada Prime,album,2PZy0sxFxBq9Xsz6s3dtlD,9,O Amor Vai Derreter o Gelo,8,214560,2015-12-14,['Calcinha Preta']
20,Balada Prime,album,2BGTibv771Q8YaXbLTGRVY,10,Sai pra Lá Bobão,7,192048,2015-12-14,['Calcinha Preta']
21,Balada Prime,album,2ByLiWlt5XrrfwX5SJQ8sY,11,Simbora Mô,7,196416,2015-12-14,['Calcinha Preta']
22,Balada Prime,album,0XFOLdIQ8IDVX8jxOcPoYK,12,Como Eu Te Amei,8,202992,2015-12-14,['Calcinha Preta']
23,Balada Prime,album,2soq3SiK531D7gNgeECahf,13,Toda Noite,8,186984,2015-12-14,['Calcinha Preta']
24,Balada Prime,album,2SRcMa41CxUmX0PK3a1l4q,14,Marca da Saudade,6,261384,2015-12-14,['Calcinha Preta']
25,Balada Prime,album,6yG0B9dKcswDpGQo37nXMs,15,Rugas,6,209064,2015-12-14,['Calcinha Preta']
26,Balada Prime,album,5hRi4lycN2Dq0oC2qwFWpa,16,A Vida Segue,7,189168,2015-12-14,['Calcinha Preta']
27,Balada Prime,album,2yozywb9ir3BKGkSAj6UK5,17,12 de Junho,6,189960,2015-12-14,['Calcinha Preta']
28,Balada Prime,album,2GNiirx9qPv4IOzZ3T2d2G,18,Filmes e Histórias,9,213624,2015-12-14,['Calcinha Preta']
29,"Filmes e Histórias, Vol. 28",album,332dRDtayv1fr33EdOgUTF,1,Filmes e Histórias,23,215197,2014-10-11,['Calcinha Preta']
30,"Filmes e Histórias, Vol. 28",album,04Qo4wZtjvx1AOYSA6sq7S,2,Onde Está,12,169692,2014-10-11,['Calcinha Preta']
31,"Filmes e Histórias, Vol. 28",album,6f5a2DbBRJllAhgtJtkrcO,3,Eu Quero Ser o Seu Amor,11,240458,2014-10-11,['Calcinha Preta']
32,"Filmes e Histórias, Vol. 28",album,1PxcELIHEu0NgEn7mT2f57,4,A Vida Segue,12,173950,2014-10-11,['Calcinha Preta']
33,"Filmes e Histórias, Vol. 28",album,37uxhOogKhdVA5GNiI0LBa,5,Eu Não Vou Desistir de Você,11,180977,2014-10-11,['Calcinha Preta']
34,"Filmes e Histórias, Vol. 28",album,6jzS9mWygmNCUTOhnlaYEe,6,Como Eu Te Amei,13,170841,2014-10-11,['Calcinha Preta']
35,"Filmes e Histórias, Vol. 28",album,59AoDIAznJKy0p29ateKfI,7,Simbora Mô,11,184347,2014-10-11,['Calcinha Preta']
36,"Filmes e Histórias, Vol. 28",album,5xhWpMABTGNPKt5md3MLGn,8,Você É Especial pra Mim,13,215563,2014-10-11,['Calcinha Preta']
37,"Filmes e Histórias, Vol. 28",album,7Ku0D3stwMcsbCcUFpN0LS,9,Toda Noite,11,187194,2014-10-11,['Calcinha Preta']
38,"Filmes e Histórias, Vol. 28",album,5hrdxbSLgIw9dEVs88Svao,10,"Não Chore, Não",10,202920,2014-10-11,['Calcinha Preta']
39,"Filmes e Histórias, Vol. 28",album,1JVJWmHq8XiWAb5CfUaRZH,11,A Casa Caiu,29,181604,2014-10-11,['Calcinha Preta']
40,"Filmes e Histórias, Vol. 28",album,68aIRAPHDu0vq5Hxoexk6B,12,O Mundo Pode Acabar,11,217287,2014-10-11,['Calcinha Preta']
41,"Filmes e Histórias, Vol. 28",album,5w90oXpP5vDbw2xjcPmYAP,13,Imaturidade,10,173819,2014-10-11,['Calcinha Preta']
42,Calcinha Preta Premium,album,1GUnZJhls3EO4B0ndFyACR,1,Amanhecer,27,238213,2013-01-18,['Calcinha Preta']
43,Calcinha Preta Premium,album,5DrrmwLIMmVvg6Z7NzBsHM,2,Longe (Far Away),18,177760,2013-01-18,['Calcinha Preta']
44,Calcinha Preta Premium,album,1P2cC0daWOoZWUjUYLfIgA,3,Tem Mais Alguém?,23,255466,2013-01-18,['Calcinha Preta']
45,Calcinha Preta Premium,album,7brRJQfRKOFd5PhYSBNAMZ,4,Baby Doll,18,212200,2013-01-18,['Calcinha Preta']
46,Calcinha Preta Premium,album,1qamKCfDlcPV44niEiQsOa,5,Faço Chover (It Will Rain),46,230093,2013-01-18,['Calcinha Preta']
47,Calcinha Preta Premium,album,3Sg8aqH8nGwbD7OompKqlZ,6,Agora Estou Sofrendo,49,237666,2013-01-18,['Calcinha Preta']
48,Calcinha Preta Premium,album,1v7heFjEb3ofUyM9wxUrhk,7,Bandido do Amor,16,190720,2013-01-18,['Calcinha Preta']
49,Calcinha Preta Premium,album,2W5LhLUkHV6ruFmKFzQdUs,8,Saidera / Em Mil Pedaços,14,239960,2013-01-18,['Calcinha Preta']
50,Calcinha Preta Premium,album,2AOxs2ahnqIrpO8jPHG42Z,9,Armadilha,17,223426,2013-01-18,['Calcinha Preta']
51,Calcinha Preta Premium,album,4A2JMGwPAks0YZiQAsq2LO,10,Morrendo de Desejo,16,233013,2013-01-18,['Calcinha Preta']
52,Calcinha Preta Premium,album,0zrWemf3zX9MGrqWu2b2k3,11,Adão e Eva / Romeu e Julieta,18,202586,2013-01-18,['Calcinha Preta']
53,Calcinha Preta Premium,album,0HSTV2H1sHmAv7cKQp8CHo,12,Mágica,18,244160,2013-01-18,['Calcinha Preta']
54,Calcinha Preta Premium,album,2pw4zHhEVt6LwYXjwI1oyW,13,Por Amor,40,215666,2013-01-18,['Calcinha Preta']
55,Calcinha Preta Premium,album,46YCv673x9c9dm7yCJmVny,14,A Encruzilhada,15,210146,2013-01-18,['Calcinha Preta']
56,Calcinha Preta Premium,album,2KI5vD7USPR2U9y4za2IC6,15,Refém / Cabertor,14,282200,2013-01-18,['Calcinha Preta']
