album,album_type,track_id,track_number,name,popularity,duration_ms,release_date,artists
AmarElo,album,1wTuMYmA3AJC7zKg6cuu19,1,"Principia (feat. Fabiana Cozza, Pastor Henrique Vieira & Pastoras do Rosário)",53,355866,2019-10-30,"['Emicida', 'Fabiana Cozza', 'Pastor Henrique Vieira', 'Pastoras do Rosário']"
AmarElo,album,7MK6sYlWniVj8D1mrAAIwb,2,A Ordem Natural das Coisas (feat. Mc Tha),52,235866,2019-10-30,"['Emicida', 'Mc Tha']"
AmarElo,album,78m3BiWZ2dLGzElYwrIfFD,3,Pequenas Alegrias da Vida Adulta (feat. Marcos Valle e Thiago Ventura),55,292013,2019-10-30,"['Emicida', 'Marcos Valle', 'Thiago Ventura']"
AmarElo,album,4yEBOuDHhrFeGXyXNJ3C4y,4,Quem Tem Um Amigo (Tem Tudo) (feat. Zeca Pagodinho & Tokyo Ska Paradise Orchestra),50,249000,2019-10-30,"['Emicida', 'Zeca Pagodinho', 'Tokyo Ska Paradise Orchestra']"
AmarElo,album,5mvd9zBoRstEcAJC2VwEOi,5,Paisagem,49,189680,2019-10-30,['Emicida']
AmarElo,album,3aXbjjFVHC86pSZey62vbS,6,"Cananéia, Iguape e Ilha Comprida",48,335600,2019-10-30,['Emicida']
AmarElo,album,6s41mmffsLaUXVkk8wzo2W,7,9nha (feat. Drik Barbosa),47,177480,2019-10-30,"['Emicida', 'Drik Barbosa']"
AmarElo,album,0lllhIvFD2afwVh1nU1WLU,8,Ismália (feat. Larissa Luz & Fernanda Montenegro),47,357760,2019-10-30,"['Emicida', 'Larissa Luz', 'Fernanda Montenegro']"
AmarElo,album,2iCQmixyFnDaOSvs0Fszr7,9,"Eminência Parda (feat. Dona Onete, Jé Santiago & Papillon)",47,244186,2019-10-30,"['Emicida', 'Dona Onete', 'Jé Santiago', 'Papillon']"
AmarElo,album,5p3LIyy38s0QQNoSTwbZXX,10,AmarElo (Sample: Sujeito de Sorte - Belchior),57,320800,2019-10-30,"['Emicida', 'Majur', 'Pabllo Vittar']"
AmarElo,album,6Uwo3QnEz0GJFFIYnQI8ak,11,Libre,42,169706,2019-10-30,"['Emicida', 'Ibeyi']"
10 Anos de Triunfo (Ao Vivo),album,4dnY5nVBGk2qkjmZWS9rgD,1,Bang - Ao Vivo,41,353613,2018-04-21,['Emicida']
10 Anos de Triunfo (Ao Vivo),album,5H3g4QdufKxNZcdqrWR1LF,2,Gueto / Os Mlk é Liso (feat. Mc Guimê) - Ao Vivo,40,205200,2018-04-21,"['Emicida', 'MC Guime']"
10 Anos de Triunfo (Ao Vivo),album,53yM8L0FqrQiLQwlSUz6hE,3,I Love Quebrada - Ao Vivo,39,198866,2018-04-21,['Emicida']
10 Anos de Triunfo (Ao Vivo),album,4joANGi3WrseAKoUFU1YDA,4,A Chapa é Quente (feat. Rael) - Ao Vivo,42,248866,2018-04-21,"['Emicida', 'Rael']"
10 Anos de Triunfo (Ao Vivo),album,5PfR5Cm2WcxZMCEej8Muo8,5,A Cada Vento (feat. Rael) - Ao Vivo,47,312680,2018-04-21,"['Emicida', 'Rael']"
10 Anos de Triunfo (Ao Vivo),album,5hNjHU5ZE4m0ykAEYLYsQH,6,Oásis (feat. Rael) - Ao Vivo,44,234840,2018-04-21,"['Emicida', 'Rael']"
10 Anos de Triunfo (Ao Vivo),album,2fvgJaMdvBFm4VHbUIJRGT,7,Alma Gêmea - Ao Vivo,44,242506,2018-04-21,['Emicida']
10 Anos de Triunfo (Ao Vivo),album,1jKMNPNEgzOfGuq2Ft2tJU,8,Madagascar - Ao Vivo,42,239106,2018-04-21,['Emicida']
10 Anos de Triunfo (Ao Vivo),album,3Qo3qPJM8aGCRVTiLvzsuI,9,Baiana (feat. Caetano Veloso) - Ao Vivo,38,253853,2018-04-21,"['Emicida', 'Caetano Veloso']"
10 Anos de Triunfo (Ao Vivo),album,5RwRKGihLcVEYAVBiFWgaq,10,Haiti (feat. Caetano Veloso) - Ao Vivo,39,257613,2018-04-21,"['Emicida', 'Caetano Veloso']"
10 Anos de Triunfo (Ao Vivo),album,33w019E0g0aFp2j4i9WR9R,11,Mãe - Ao Vivo,42,297693,2018-04-21,['Emicida']
10 Anos de Triunfo (Ao Vivo),album,6n1kLEtsPlekRVg6UiGXop,12,Hoje Cedo (feat. Pitty) - Ao Vivo,44,342000,2018-04-21,"['Emicida', 'Pitty']"
10 Anos de Triunfo (Ao Vivo),album,7jCJhnhdNwQcQB70VqbXB9,13,Como Tudo Deve Ser - Ao Vivo,41,175880,2018-04-21,['Emicida']
10 Anos de Triunfo (Ao Vivo),album,1LkHhH4LPjS6WReIqKeJc0,14,Chapa - Ao Vivo,40,282106,2018-04-21,['Emicida']
10 Anos de Triunfo (Ao Vivo),album,4QzprorHgMNDb7DwnHSp0K,15,Passarinhos (feat. Vanessa Da Mata) - Ao Vivo,41,222466,2018-04-21,"['Emicida', 'Vanessa Da Mata']"
10 Anos de Triunfo (Ao Vivo),album,43P9lxj5SPLTgBWAb9eiD4,16,Hino Vira-Lata (feat. Prettos) - Ao Vivo,37,237133,2018-04-21,"['Emicida', 'Prettos']"
10 Anos de Triunfo (Ao Vivo),album,6JFWIGQuGrtVsYtIT1CPuU,17,Mufete - Ao Vivo,36,302866,2018-04-21,['Emicida']
10 Anos de Triunfo (Ao Vivo),album,6EGdi8mN7xNXKqjonxloqe,18,Todos os Olhos em Nóiz - Ao Vivo,42,285160,2018-04-21,"['Emicida', 'Karol Conká']"
10 Anos de Triunfo (Ao Vivo),album,1YyrCYFzq2cqG6Rfggqqda,19,Ooorra - Ao Vivo,46,284693,2018-04-21,['Emicida']
10 Anos de Triunfo (Ao Vivo),album,5Gay4YpzG895E2JDqi2L9A,20,Boa Esperança (feat. Jota Ghetto) - Ao Vivo,38,199706,2018-04-21,"['Emicida', 'Jota Ghetto']"
10 Anos de Triunfo (Ao Vivo),album,3HhYkPLqvHrLdfN7Co6MSf,21,"Zica, Vai Lá (feat. Fióti) - Ao Vivo",38,247133,2018-04-21,"['Emicida', 'Fióti']"
10 Anos de Triunfo (Ao Vivo),album,0FzIvs8tg8uoQhl8zz6zgK,22,Nóiz - Ao Vivo,37,139466,2018-04-21,['Emicida']
10 Anos de Triunfo (Ao Vivo),album,3AKQgmQ25qEEhHMJAsexjN,23,Ubuntu Fristaili - Ao Vivo,36,267400,2018-04-21,['Emicida']
10 Anos de Triunfo (Ao Vivo),album,6AI7u64to3bm9Iga4t2TmX,24,"Mandume (feat. Drik Barbosa, Raphão Alaafin, Muzzike, Amiri, Coruja BC1, Rico Dalasam & Rashid) - Ao Vivo",37,647666,2018-04-21,"['Emicida', 'Drik Barbosa', 'Raphão Alaafin', 'Muzzike', 'Amiri', 'Coruja Bc1', 'Rico Dalasam', 'Rashid']"
10 Anos de Triunfo (Ao Vivo),album,1gHFcFkvcdgUreyZYxXSKP,25,Rinha - Ao Vivo,36,131920,2018-04-21,['Emicida']
