series_name,Episode,series_ep,season,season_ep,UserRating,UserVotes
Mr Robot,eps1.0_hellofriend.mov,1,1,1,9.3,9787
Mr Robot,eps1.1_ones-and-zer0es.mpeg,2,1,2,8.7,6854
Mr Robot,eps1.2_d3bug.mkv,3,1,3,8.4,5898
Mr Robot,eps1.3_da3m0ns.mp4,4,1,4,8.2,5770
Mr Robot,eps1.4_3xpl0its.wmv,5,1,5,8.6,5114
Mr Robot,eps1.5_br4ve-trave1er.asf,6,1,6,9.2,6123
Mr Robot,eps1.6_v1ew-s0urce.flv,7,1,7,8.7,4798
Mr Robot,eps1.7_wh1ter0se.m4v,8,1,8,9.5,7507
Mr Robot,eps1.8_m1rr0r1ng.qt,9,1,9,9.3,5963
Mr Robot,eps1.9_zer0-day.avi,10,1,10,8.9,5245
Mr Robot,eps2.0_unm4sk-pt1.tc,11,2,1,8.5,3635
Mr Robot,eps2.0_unm4sk-pt2.tc,12,2,2,8.5,3273
Mr Robot,eps2.1_k3rnel-pan1c.ksd,13,2,3,8.6,3080
Mr Robot,eps2.2_init_1.asec,14,2,4,8.6,2780
Mr Robot,eps2.3_logic-b0mb.hc,15,2,5,9,2864
Mr Robot,eps2.4_m4ster-s1ave.aes,16,2,6,9.2,3366
Mr Robot,eps2.5_h4ndshake.sme,17,2,7,9.4,3741
Mr Robot,eps2.6_succ3ss0r.p12,18,2,8,8.8,2369
Mr Robot,eps2.7_init_5.fve,19,2,9,8.8,2219
Mr Robot,eps2.8_h1dden-pr0cess.axx,20,2,10,9.4,3091
Mr Robot,eps2.9_pyth0n-pt1.p7z,21,2,11,8.7,2267
Mr Robot,eps2.9_pyth0n-pt2.p7z,22,2,12,9,2584
Sherlock,Unaired Pilot,1,1,1,8.9,7417
Sherlock,A Study in Pink,2,1,2,9.1,21659
Sherlock,The Blind Banker,3,1,3,8.1,18640
Sherlock,The Great Game,4,1,4,9.2,19060
Sherlock,A Scandal in Belgravia,5,2,1,9.6,27827
Sherlock,The Hounds of Baskerville,6,2,2,8.5,18578
Sherlock,The Reichenbach Fall,7,2,3,9.7,26791
Sherlock,Many Happy Returns,8,3,1,8.7,7580
Sherlock,The Empty Hearse,9,3,2,9.1,23270
Sherlock,The Sign of Three,10,3,3,9,19749
Sherlock,His Last Vow,11,3,4,9.4,22292
Sherlock,The Abominable Bride,12,4,1,8.2,26795
Sherlock,The Six Thatchers,13,4,2,7.8,16313
Sherlock,The Lying Detective,14,4,3,9.3,18450
Sherlock,The Final Problem,15,4,4,8.4,17025
Supernatural,Pilot,1,1,1,8.8,4995
Supernatural,Wendigo,2,1,2,8.1,3764
Supernatural,Dead in the Water,3,1,3,8.1,3405
Supernatural,Phantom Traveler,4,1,4,8.3,3195
Supernatural,Bloody Mary,5,1,5,8.5,3344
Supernatural,Skin,6,1,6,8.5,3064
Supernatural,Hook Man,7,1,7,8.1,2943
Supernatural,Bugs,8,1,8,7.1,3120
Supernatural,Home,9,1,9,9,3214
